tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,ATCZone_pre,thr_distance_nm_pre,ATCZone_fol,thr_distance_nm_fol,ATCZone,thr_distance_nm,min_required_nm,is_below_minima,margin_nm,Aircraft_Type_Preceding,Aircraft_Type_Following,Wake_Pre,Wake_Fol,wake_required_nm,wake_is_below,wake_margin_nm
14508.0,RYR1FB,RYR1FB,18.534081959146803,10.631678328651908,18.69753434109784,10.70021389634802,0.17723940082525522,TMA,0.0111414989583732,TMA,0.0111414989583732,TMA,0.0111414989583732,3.0,True,-2.8227605991747446,B38M,B38M,,,,False,
17140.0,EJU73YK,EJU73YK,19.21355042718337,10.85015032352204,19.3917340916014,10.839144026726272,0.17852326692785242,TMA,0.7206071578507655,TMA,0.7206071578507655,TMA,0.7206071578507655,3.0,True,-2.8214767330721475,A319,A319,,,,False,
17376.0,UPS242,UPS242,18.84208567661789,10.66641498722414,19.01601261008533,10.665229194210982,0.17393097564970061,TMA,0.3184697756285823,TMA,0.3184697756285823,TMA,0.3184697756285823,3.0,True,-2.8260690243502995,B763,B763,,,,False,
17520.0,VLG365N,VLG365N,18.676436344367666,10.69455771152522,18.835912707588392,10.759570049335178,0.17221879831663253,TMA,0.1617672346301989,TMA,0.1617672346301989,TMA,0.1617672346301989,3.0,True,-2.8277812016833677,A320,A320,,,,False,
18072.0,VLG3YR,VLG3YR,16.45625277659483,8.678242621734702,16.44896071360766,8.471091628017659,0.2072793004150857,TMA,1.5603563607064996,TMA,1.5603563607064996,TMA,1.5603563607064996,3.0,True,-2.7927206995849145,A320,A320,,,,False,
19232.0,IBE04RC,VLG38HJ,18.22643195461316,10.49864624360121,16.61912664104833,8.327629312847899,2.7012487639296148,TWR,0.3293753171740962,TMA,1.813141876781812,TMA,1.813141876781812,3.0,True,-0.29875123607038523,A320,A321,,,,False,
19244.0,VLG38HJ,IBE04RC,16.62079621631617,7.665219347632783,17.836714366872535,10.321883377409373,2.921698258883214,TMA,2.4473023682661816,TMA,0.6766427050750187,TMA,0.6766427050750187,3.0,True,-0.0783017411167859,A321,A320,,,,False,
19304.0,EJU14CG,IBE04RC,18.176234674457607,10.472589340930286,16.321358252225977,8.307026691733299,2.8513554898237237,TWR,0.3858899586175243,TMA,1.9510362831323171,TMA,1.9510362831323171,3.0,True,-0.14864451017627633,A319,A320,,,,False,
19312.0,IBE04RC,EJU14CG,16.29913700159106,7.874486621944228,17.920780329786723,10.357062001742673,2.965283730145043,TMA,2.351814671180224,TMA,0.6662262063883141,TMA,0.6662262063883141,3.0,True,-0.034716269854957016,A320,A319,,,,False,
19552.0,VLG6UW,VLG7830,18.17134808163829,10.47473650640197,16.29718683933629,8.239304887937449,2.917127848240093,TWR,0.3894056999243665,TMA,2.022288129010349,TMA,2.022288129010349,3.0,True,-0.08287215175990692,A321,A321,,,,False,
