Time,lat,lon,Hft
05:06:03:477,41.28931494,2.09479682,25.0002547874407
05:06:07:531,41.28836314,2.09206237,25.0001225414642
05:06:11:586,41.28726368,2.08896912,24.9998998612517
05:06:15:625,41.28608692,2.08551938,-0.0004489048285782
05:06:19:656,41.28480773,2.08185907,24.9990770340641
05:06:23:680,41.28345936,2.07803351,149.998466488255
05:06:27:695,41.28217698,2.07421414,299.997726690699
05:06:31:711,41.28082452,2.07042289,449.996882855731
05:06:35:719,41.27942467,2.06661616,624.9959228222
05:06:39:719,41.27788536,2.06298161,799.994930366542
05:06:43:719,41.2759511,2.05987206,974.994115800224
05:06:47:703,41.27365704,2.05702503,1124.99342459155
05:06:51:688,41.27094476,2.05474857,1249.99304641807
05:06:55:656,41.26790586,2.05323646,1374.99310977644
05:06:59:633,41.26482116,2.05210616,1499.99341452703
05:07:03:602,41.26152511,2.05121686,1574.99395804856
05:07:07:570,41.25814393,2.05069906,1649.9947850185
05:07:11:547,41.25463098,2.05027069,1749.99578937649
05:07:15:516,41.25101402,2.04987155,1824.99694150878
05:07:19:492,41.24731468,2.04947091,1899.99822738121
05:07:23:477,41.24353596,2.04905291,1974.99964497712
05:07:27:453,41.23967706,2.04860733,2050.00119646287
05:07:31:430,41.23568176,2.04807791,2125.0028888845
05:07:35:414,41.2316148,2.04747718,2200.00470544276
05:07:39:391,41.2274679,2.04680845,2275.00665823445
05:07:43:375,41.22324913,2.04606597,2400.00874757698
05:07:47:359,41.21902436,2.04525706,2575.01094114601
05:07:51:344,41.21471057,2.04434815,2725.01327315779
05:07:55:328,41.21047971,2.04350007,2925.01571964733
05:07:59:320,41.20607784,2.04254256,3075.01836312969
05:08:03:313,41.20172458,2.04150916,3250.02107038669
05:08:07:297,41.19739265,2.04025806,3450.02377468271
05:08:11:289,41.19331833,2.03782521,3625.02569389656
05:08:15:289,41.18935893,2.0354953,3825.02765308867
05:08:19:281,41.18566532,2.03216398,4000.02879741034
05:08:23:289,41.18237219,2.02790151,4150.02893469379
05:08:27:289,41.17941232,2.02339705,4325.02849559898
05:08:31:289,41.17658275,2.01863682,4525.02761193494
05:08:35:297,41.17382613,2.01395588,4725.02657264409
05:08:39:305,41.17103407,2.00906515,4925.02524265714
05:08:43:305,41.16823406,2.00426212,5125.0238388916
05:08:47:305,41.1654318,1.9995054,5300.02232726025
05:08:51:305,41.1626614,1.99474408,5500.02062800145
05:08:55:305,41.15972327,1.98987832,5675.01885183843
05:08:59:313,41.15684282,1.98509538,5850.01694811049
