id_preceding,id_following,callsign_preceding,callsign_following,wake_cat_preceding,wake_cat_following,runway_preceding,runway_following,sid_preceding,sid_following,distance_twr_nm,time_twr,distance_tma_nm,time_tma,ac_type_preceding,ac_type_following,proc_preceding,proc_following,engine_group_preceding,engine_group_following,malformed_engine_group,same_runway,same_sid,loa_min_required_nm,twr_ok,tma_ok,loa_ok,reason
579,580,VLG38HJ,IBE04RC,Media,Media,LEBL-24L,LEBL-24L,-,-,2.841282141366866,05:20:42:375,2.921698258883214,05:20:46:344,A321,A320,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.8 < 3
580,581,IBE04RC,EJU14CG,Media,Media,LEBL-24L,LEBL-24L,-,-,2.912293644084692,05:21:50:344,2.965283730145043,05:21:54:320,A320,A319,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.9 < 3
581,582,EJU14CG,VLG23TK,Media,Media,LEBL-24L,LEBL-24L,-,LARPA1C,3.9191781417153426,05:23:22:125,4.013805703309365,05:23:26:109,A319,A321,-,LARPA1C,HP,HP,False,True,False,3,True,True,True,
582,583,VLG23TK,VLG7830,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,-,3.976423863656191,05:24:53:961,4.080770383291489,05:24:57:953,A321,A321,LARPA1C,-,HP,HP,False,True,False,3,True,True,True,
583,584,VLG7830,VLG6UW,Media,Media,LEBL-24L,LEBL-24L,-,SENIA1C,2.9807270125209047,05:25:58:023,3.0505800579964277,05:26:02:000,A321,A321,-,SENIA1C,HP,HP,False,True,False,3,False,True,False,TWR 3.0 < 3
584,585,VLG6UW,VLG3BV,Media,Media,LEBL-24L,LEBL-24L,SENIA1C,-,4.360395694141589,05:27:37:750,4.49021451353848,05:27:41:734,A321,A320,SENIA1C,-,HP,HP,False,True,False,3,True,True,True,
585,586,VLG3BV,VLG2472,Media,Media,LEBL-24L,LEBL-24L,-,-,3.484929652603436,,,,A320,A321,-,-,HP,HP,False,True,False,3,True,True,True,
586,587,VLG2472,VLG3LK,Media,Media,LEBL-24L,LEBL-24L,-,DUNES1C,4.24661297876291,,,,A321,A320,-,DUNES1C,HP,HP,False,True,False,3,True,True,True,
587,588,VLG3LK,VLG55PB,Media,Media,LEBL-24L,LEBL-24L,DUNES1C,-,4.808794157192018,05:32:13:391,4.931632871703125,05:32:17:367,A320,A21N,DUNES1C,-,HP,HP,False,True,False,3,True,True,True,
588,589,VLG55PB,VLG56ND,Media,Media,LEBL-24L,LEBL-24L,-,-,3.128512126378837,05:33:25:359,3.2308910542397022,05:33:29:336,A21N,A319,-,-,HP,HP,False,True,False,3,True,True,True,
589,590,VLG56ND,VLG1PT,Media,Media,LEBL-24L,LEBL-24L,-,LARPA1C,4.825766354456162,,,,A319,A321,-,LARPA1C,HP,HP,False,True,False,3,True,True,True,
590,591,VLG1PT,VLG11TT,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,-,3.023970695704059,05:35:53:188,3.0942842607485224,05:35:57:164,A321,A320,LARPA1C,-,HP,HP,False,True,False,3,True,True,True,
591,592,VLG11TT,VLG15SY,Media,Media,LEBL-24L,LEBL-24L,-,SENIA1C,4.650064897247636,05:37:33:031,4.786403327634437,05:37:37:016,A320,A320,-,SENIA1C,HP,HP,False,True,False,3,True,True,True,
592,593,VLG15SY,VLG7EY,Media,Media,LEBL-24L,LEBL-24L,SENIA1C,LOTOS1C,4.366940075969639,05:39:08:867,4.495696760125307,05:39:12:852,A320,A321,SENIA1C,LOTOS1C,HP,HP,False,True,True,5,False,True,False,TWR 4.4 < 5
593,594,VLG7EY,VLG76GZ,Media,Media,LEBL-24L,LEBL-24L,LOTOS1C,-,4.660837801755148,,,,A321,A321,LOTOS1C,-,HP,HP,False,True,False,3,True,True,True,
594,595,VLG76GZ,VLG68LT,Media,Media,LEBL-24L,LEBL-24L,-,OLOXO1C,4.715152447666598,05:42:00:672,4.868177921765201,05:42:04:656,A321,A321,-,OLOXO1C,HP,HP,False,True,False,3,True,True,True,
595,596,VLG68LT,VLG5YL,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,-,4.1268000027077,,,,A321,A320,OLOXO1C,-,HP,HP,False,True,False,3,True,True,True,
596,597,VLG5YL,RYR2SY,Media,Media,LEBL-24L,LEBL-24L,-,-,2.959109738480421,05:44:20:555,3.044486952714462,05:44:24:531,A320,B738,-,-,HP,HP,False,True,False,3,False,True,False,TWR 3.0 < 3
597,598,RYR2SY,VLG2QW,Media,Media,LEBL-24L,LEBL-24L,-,-,3.1588104142954614,,,,B738,A320,-,-,HP,HP,False,True,False,3,True,True,True,
598,599,VLG2QW,VLG3TC,Media,Media,LEBL-24L,LEBL-24L,-,-,3.1164415592421,05:46:48:398,3.167124312084808,05:46:52:367,A320,A321,-,-,HP,HP,False,True,False,3,True,True,True,
599,600,VLG3TC,VLG84ZE,Media,Media,LEBL-24L,LEBL-24L,-,NATPI1C,4.428967045969856,05:48:24:180,4.5747926495609095,05:48:28:172,A321,A320,-,NATPI1C,HP,HP,False,True,False,3,True,True,True,
600,601,VLG84ZE,VLG1YW,Media,Media,LEBL-24L,LEBL-24L,NATPI1C,-,3.369690643962634,05:49:40:172,3.439870798575993,05:49:44:148,A320,A320,NATPI1C,-,HP,HP,False,True,False,3,True,True,True,
601,602,VLG1YW,VLG6FZ,Media,Media,LEBL-24L,LEBL-24L,-,-,4.72907975194844,,,,A320,A320,-,-,HP,HP,False,True,False,3,True,True,True,
602,603,VLG6FZ,VLG9VG,Media,Media,LEBL-24L,LEBL-24L,-,-,2.6336052779907186,05:52:24:023,2.67428764731968,05:52:28:000,A320,A321,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.6 < 3
