id,callsign,Time_despegue,lat_turn,lon_turn,time_turn,roll_turn_deg,track_turn_deg,alt_ft_turn,SID,TipoAeronave,Estela,Atraviesa_radial_234,turn_found,turn_compliant,radial_from_bcn_deg
613,DLH98Y,06:05:18:805,41.27665957,2.06288374,06:05:59:086,-28.125,,974.995122640014,AGENA1C,A320,Media,True,False,False,69.06346316687507
614,DLH97F,06:06:46:734,41.2808388,2.07089161,06:07:14:977,-20.215,,624.997023273967,-,A321,Media,True,False,False,65.81071856350354
615,THY1852,06:08:10:586,41.27830923,2.06439031,06:08:46:883,-17.93,,724.99535704911,DIPES1C,B738,Media,True,False,False,66.50346121393011
616,VLG700D,06:10:06:445,41.281434,2.07249799,06:10:34:711,-15.293,,649.997388002086,-,A320,Media,True,False,False,65.72394867005039
617,VLG6ZP,06:11:46:297,41.27841933,2.06748245,06:12:22:570,-30.059,,999.996386665828,OLOXO1C,A20N,Media,True,False,False,68.2133910484344
618,NSZ3DA,06:12:58:250,41.27779273,2.06370382,06:13:34:508,-21.094,,649.995202275321,-,B738,Media,True,False,False,67.1238453446067
619,VLG8VX,06:14:22:148,41.2724372,2.05977365,06:15:06:352,-22.148,,1224.99480627881,-,A320,Media,True,False,False,77.86318169621109
620,IBE04GZ,06:15:26:031,41.27409053,2.06127138,06:16:10:281,-19.863,,1124.99503101305,-,A320,Media,True,False,False,74.23629963860628
621,NSZ5528,06:16:45:930,41.27061815,2.05586412,06:17:34:172,-19.863,,1099.99360289357,-,B738,Media,True,False,False,81.75550738281493
622,VLG5WG,06:19:49:680,41.28098311,2.07120798,06:20:21:961,-20.918,,724.997095692136,-,A20N,Media,True,False,False,65.74768836356668
623,VLG45PN,06:21:21:563,41.27737495,2.06266469,06:22:01:859,-21.445,,924.99490976227,-,A320,Media,True,False,False,67.31964972356536
624,VLG65MT,06:22:45:445,41.28072507,2.0703204,06:23:17:742,-7.207,,524.996870352003,LOBAR1C,A320,Media,True,False,False,65.67555827019925
625,IBE2601,06:25:09:344,41.27463857,2.05990756,06:25:49:555,-28.828,,874.994384698956,LOTOS1C,A332,Pesada,True,False,False,72.03723310382827
626,VLG93DX,06:27:25:102,41.27536553,2.05987618,06:28:09:391,-29.004,,1149.99423654091,LARPA1C,A320,Media,True,False,False,70.14888226962154
627,SWT7TN,06:28:49:008,41.2821331,2.07655607,06:29:17:242,-13.184,,599.998324106939,LARPA1C,AT72,Media,True,False,False,66.72058982007502
628,EJU37TW,06:31:00:898,41.27911625,2.066279,06:31:33:125,-13.359,,624.995862209843,NATPI1C,A319,Media,True,False,False,66.13351204072
629,VLG92CD,06:32:52:727,41.27770615,2.06416703,06:33:28:969,-28.301,,824.995387664705,NATPI1C,A320,Media,True,False,False,67.61539202807501
630,VLG2974,06:34:04:594,41.27611872,2.06579912,06:34:44:844,-23.027,,1049.99625056648,NATPI1C,A20N,Media,True,False,False,71.93885626554953
