CAT,SAC,SIC,Time,LAT,LON,H(m),H(ft),RHO,THETA,Mode3/A,FL,TA,TI,BP,RA,TTA,GS,TAR,TAS,HDG,IAS,MACH,BAR,IVV,TN,GS(kt),HDG.1,STAT,callsign,lat,lon,ALT_CORR,X,Y
CAT048,20,129,04:01:07:445,41.27748989,2.29177436,1501.08956798725,4924.83469823528,8.730469,99.151611,437.0,49.25,4CA739,RYR82GJ,"1013,2",,,,,,100.371094,251.0,0.412,2656.0,2720,3862,276.76,100.415,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27748989,2.29177436,2656.0,27.031464957607415,9.80325187971406
CAT048,20,129,04:01:11:445,41.27649355,2.29843855,1554.42597224377,5099.82290677625,9.039062,99.217529,437.0,51.0,4CA739,RYR82GJ,"1013,2",,,,,,103.007812,252.0,0.416,2976.0,3104,3862,277.2,102.9309,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27649355,2.29843855,2976.0,27.332482803387848,9.745533256739835
CAT048,20,129,04:01:15:438,41.27519381,2.30501799,1623.00231942628,5324.8109296665,9.347656,99.393311,437.0,53.25,4CA739,RYR82GJ,"1013,2",19.512,"106,172",276.0,"1,312",278.0,107.402344,251.0,0.416,3136.0,3136,3862,277.2,106.1389,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27519381,2.30501799,3136.0,27.62981504459885,9.669600496074473
CAT048,20,129,04:01:19:438,41.27357017,2.31144209,1683.95866026357,5524.79893093913,9.652344,99.678955,437.0,55.25,4CA739,RYR82GJ,"1013,2",,,,,,113.554688,250.0,0.416,3008.0,2944,3862,276.76,111.6431,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27357017,2.31144209,3008.0,27.920290047873728,9.574199661198511
CAT048,20,129,04:01:23:438,41.2706883,2.31738979,1737.29526754655,5699.78780557742,9.949219,100.39856,437.0,57.0,4CA739,RYR82GJ,"1013,2",,,,,,120.234375,251.0,0.42,2944.0,2912,3862,277.64,118.8721,"No alert, no SPI, aircraft airbone",RYR82GJ,41.2706883,2.31738979,2944.0,28.189831088876414,9.403146061838715
CAT048,20,129,04:01:24:789,41.28550594,2.08365183,-0.0002089813351631,-0.0006856343236565,1.234375,222.418213,1000.0,0.0,4CAD3C,RYR1FB,1014,,,,,,63.28125,114.0,0.172,224.0,32,2077,111.1,65.5115,"No alert, no SPI, aircraft airbone",RYR1FB,41.28550594,2.08365183,224.0,17.64150406638069,10.230940333570663
CAT048,20,129,04:01:27:438,41.26832014,2.32316401,1798.25186360814,5899.77664420012,10.234375,100.914917,437.0,59.0,4CA739,RYR82GJ,"1013,2",,,,,,127.089844,250.0,0.42,2976.0,2976,3862,278.3,125.6287,"No alert, no SPI, aircraft airbone",RYR82GJ,41.26832014,2.32316401,2976.0,28.451345875759745,9.26288733189064
CAT048,20,129,04:01:28:758,41.28649143,2.08635715,-0.0001122606918215,-0.0003683093681558,1.109375,219.80896,1000.0,0.0,4CAD3C,RYR1FB,1014,,,,,,63.632812,128.0,0.196,192.0,32,2077,126.28,65.6653,"No alert, no SPI, aircraft airbone",RYR1FB,41.28649143,2.08635715,192.0,17.763250594086678,10.290640997548516
CAT048,20,129,04:01:32:711,41.28752418,2.08937686,-2.40374356508255e-05,-7.88629803806543e-05,0.976562,215.974731,1000.0,0.0,4CAD3C,RYR1FB,1014,,,,,,63.457031,142.0,0.216,192.0,0,2077,140.58,65.6213,"No alert, no SPI, aircraft airbone",RYR1FB,41.28752418,2.08937686,192.0,17.899159565775417,10.353246714322024
CAT048,20,129,04:01:36:641,41.28860389,2.09270993,4.79398295283318e-05,0.0001572829103097,0.839844,210.234375,1000.0,0.0,4CAD3C,RYR1FB,1014,1.055,"65,566",154.0,"0,062",156.0,63.457031,154.0,0.232,-320.0,128,2077,154.0,65.4291,"No alert, no SPI, aircraft airbone",RYR1FB,41.28860389,2.09270993,-320.0,18.049183641372228,10.41874073927219
CAT048,20,129,04:01:40:547,41.28969929,2.09621458,9.36249271035194e-05,0.0003071684058383,0.710938,201.829834,1000.0,0.0,4CAD3C,RYR1FB,1014,,,,,,64.335938,163.0,0.248,1408.0,576,2077,164.78,66.3904,"No alert, no SPI, aircraft airbone",RYR1FB,41.28969929,2.09621458,1408.0,18.20693640931963,10.485218156076646
CAT048,20,129,04:01:44:406,41.29094485,2.09983001,30.4801045265049,100.000346134738,0.59375,189.772339,1000.0,1.0,4CAD3C,RYR1FB,1014,,,,,,64.160156,166.0,0.252,1472.0,1920,2077,168.52,66.9342,"No alert, no SPI, aircraft airbone",RYR1FB,41.29094485,2.09983001,1472.0,18.369637611159362,10.560738078828273
CAT048,20,129,04:01:48:211,41.29211386,2.10348375,68.5800833972171,225.000280812926,0.519531,172.86438,1000.0,2.25,4CAD3C,RYR1FB,1014,,,,,,60.644531,163.0,0.248,1856.0,1984,2077,168.52,66.9342,"No alert, no SPI, aircraft airbone",RYR1FB,41.29211386,2.10348375,1856.0,18.534081959146803,10.631678328651908
CAT048,20,129,04:01:51:984,41.29324277,2.10711537,99.0600286405534,325.000104365073,0.503906,152.918701,1000.0,3.25,4CAD3C,RYR1FB,1014,1.406,"66,797",170.0,"0,094",170.0,60.820312,165.0,0.252,1632.0,1312,2077,171.82,67.0166,"No alert, no SPI, aircraft airbone",RYR1FB,41.29324277,2.10711537,1632.0,18.69753434109784,10.700213896348021
CAT048,20,129,04:01:55:766,41.29439239,2.11083528,121.919936978258,399.999806035749,0.550781,133.626709,1000.0,4.0,4CAD3C,RYR1FB,1014,,,,,,62.578125,171.0,0.26,1632.0,1248,2077,176.44,67.6538,"No alert, no SPI, aircraft airbone",RYR1FB,41.29439239,2.11083528,1632.0,18.864956552215023,10.770018477559141
CAT048,20,129,04:01:59:586,41.29556109,2.11468191,152.399804434739,499.999374381669,0.652344,118.366699,1000.0,5.0,4CAD3C,RYR1FB,1014,,,,,,66.445312,174.0,0.264,1024.0,1312,2077,181.06,69.9609,"No alert, no SPI, aircraft airbone",RYR1FB,41.29556109,2.11468191,1024.0,19.038081684715447,10.841003160070024
