Time,time_seconds,callsign_preceding,callsign_following,X_preceding,Y_preceding,lat_preceding,lon_preceding,X_following,Y_following,lat_following,lon_following,id_preceding,id_following,distance_nm,distance_to_threshold_preceding,distance_to_threshold_following,both_beyond_threshold,runway_preceding,runway_following,sid_preceding,sid_following,Time_preceding,Time_following
04:01:27:438,14487.438,RYR82GJ,RYR1FB,28.451345875759745,9.26288733189064,41.26832014,2.32316401,17.64150406638069,10.230940333570665,41.28550594,2.08365183,544,545,10.85310124148214,11.255202445384175,0.4612884669903653,False,LEBL-06R,LEBL-06R,-,-,,
04:03:51:227,14631.227,RYR1FB,VLG6152,25.57480076223676,10.049305288852771,41.28175187,2.25951778,17.700124366235805,10.257117768663036,41.28593767,2.08495416,545,546,7.877418001382145,8.351991310326042,0.5254832503558833,True,LEBL-06R,LEBL-06R,-,-,,
04:03:55:219,14635.219,RYR1FB,VLG6152,25.842082277457735,10.073331342892391,41.28212297,2.26544692,17.833851015408133,10.324034160727582,41.28704244,2.08792587,545,546,8.012154507330663,8.619339455138718,0.6749567720470143,True,LEBL-06R,LEBL-06R,-,-,,
04:03:59:203,14639.203,RYR1FB,VLG6152,26.10882816249936,10.126701906348735,41.28298271,2.27136858,17.979265860403416,10.388316702304827,41.28810236,2.09115657,545,546,8.13377068309174,8.88645963881511,0.833913905948805,True,LEBL-06R,LEBL-06R,-,-,,
04:04:03:188,14643.188,RYR1FB,VLG6152,26.37278726317664,10.198127001534234,41.28414325,2.2772313,18.13827063087476,10.464179157935392,41.28935407,2.09468989,545,546,8.238813501808497,9.151382171453072,1.0100805357171725,True,LEBL-06R,LEBL-06R,-,-,,
04:04:07:172,14647.172,RYR1FB,VLG6152,26.623944302576287,10.310224602096133,41.28598255,2.28281651,18.299689460488548,10.540400296032882,41.29061146,2.09827691,545,546,8.327436551910825,9.40508649771074,1.1885884199140493,True,LEBL-06R,LEBL-06R,-,-,,
04:04:11:156,14651.156,RYR1FB,VLG6152,26.871045520578416,10.44801754119807,41.28825013,2.28831601,18.45334404715645,10.60861942914758,41.29173603,2.10169107,545,546,8.41923340109201,9.656964650095029,1.35667902006189,True,LEBL-06R,LEBL-06R,-,-,,
04:04:15:141,14655.141,RYR1FB,VLG6152,27.112153478008985,10.59943057989549,41.29074505,2.29368509,18.609038059278696,10.674845352632188,41.29282713,2.10515036,545,546,8.50344984181101,9.90529778226779,1.5257933235051864,True,LEBL-06R,LEBL-06R,-,-,,
04:04:19:117,14659.117,RYR1FB,VLG6152,27.36572254624076,10.750848944556047,41.29323836,2.29933089,18.758151467278616,10.748298522194078,41.29403906,2.10846461,545,546,8.607571456807069,10.16797108587072,1.6919633646889345,True,LEBL-06R,LEBL-06R,-,-,,
04:04:23:102,14663.102,RYR1FB,VLG6152,27.628341326008474,10.900707229470076,41.29570434,2.30517755,18.9178677549617,10.801361313886934,41.29491033,2.11201192,545,546,8.711040089613144,10.441281203327344,1.859288455906513,True,LEBL-06R,LEBL-06R,-,-,,
