tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,thr_distance_nm,ATCZone,min_required_nm,is_below_minima,margin_nm
14484.0,RYR1FB,RYR82GJ,17.64150406638069,10.230940333570665,28.451345875759745,9.26288733189064,10.85310124148214,,TMA,3.0,False,7.85310124148214
14508.0,RYR1FB,RYR1FB,18.534081959146803,10.631678328651908,18.69753434109784,10.70021389634802,0.17723940082525522,,TMA,3.0,True,-2.8227605991747446
14628.0,VLG6152,RYR1FB,17.580776571465258,10.207406117530038,25.57480076223676,10.049305288852771,7.995587447753191,,TMA,3.0,False,4.995587447753191
14632.0,VLG6152,RYR1FB,17.700124366235805,10.257117768663036,25.842082277457735,10.073331342892391,8.144031930095002,,TMA,3.0,False,5.144031930095002
14636.0,VLG6152,RYR1FB,17.833851015408133,10.324034160727582,26.10882816249936,10.126701906348735,8.277329690395346,,TMA,3.0,False,5.277329690395346
14640.0,VLG6152,RYR1FB,17.979265860403416,10.388316702304827,26.37278726317664,10.198127001534234,8.395675890664872,,TMA,3.0,False,5.395675890664872
14644.0,VLG6152,RYR1FB,18.13827063087476,10.464179157935392,26.623944302576287,10.310224602096133,8.4870701462797,,TMA,3.0,False,5.4870701462797005
14648.0,VLG6152,RYR1FB,18.299689460488548,10.540400296032882,26.871045520578416,10.44801754119807,8.571853899958292,,TMA,3.0,False,5.571853899958292
14652.0,VLG6152,RYR1FB,18.45334404715645,10.60861942914758,27.112153478008985,10.59943057989549,8.658814306518613,,TMA,3.0,False,5.658814306518613
14652.0,RYR1FB,VLG6152,27.112153478008985,10.59943057989549,18.609038059278696,10.674845352632188,8.50344984181101,,TMA,3.0,False,5.50344984181101
14656.0,RYR1FB,VLG6152,27.36572254624076,10.750848944556047,18.758151467278616,10.748298522194078,8.607571456807069,,TMA,3.0,False,5.607571456807069
14660.0,RYR1FB,VLG6152,27.628341326008474,10.900707229470076,18.9178677549617,10.801361313886934,8.711040089613144,,TMA,3.0,False,5.711040089613144
14664.0,RYR1FB,VLG6152,27.88762600270628,11.048822544590832,19.08820920668675,10.837574634443628,8.801952148791324,,TMA,3.0,False,5.801952148791324
14668.0,RYR1FB,VLG6152,28.1520133184978,11.195199558488662,19.26244797333448,10.8538492621502,8.896116683741226,,TMA,3.0,False,5.896116683741226
14672.0,RYR1FB,VLG6152,28.418156292921743,11.34115538331978,19.452549780563967,10.845523659353718,8.979295681746635,,TMA,3.0,False,5.979295681746635
14676.0,RYR1FB,VLG6152,28.689843760746808,11.486256518176113,19.64027855420517,10.835329881603409,9.07294527227233,,TMA,3.0,False,6.07294527227233
14680.0,RYR1FB,VLG6152,28.9633376659992,11.630903879314896,19.833281017540436,10.821932331886073,9.165826169452238,,TMA,3.0,False,6.165826169452238
14684.0,RYR1FB,VLG6152,29.227891670587404,11.771862258884337,20.03712796452657,10.80410276840172,9.241574321081028,,TMA,3.0,False,6.241574321081028
14688.0,RYR1FB,VLG6152,29.502500805233847,11.911500222566676,20.23600877029273,10.784321230726324,9.334795504630693,,TMA,3.0,False,6.3347955046306925
14692.0,RYR1FB,VLG6152,29.7761542754502,12.050841289270307,20.44155417310879,10.75937693132395,9.423515228325257,,TMA,3.0,False,6.4235152283252575
14696.0,RYR1FB,VLG6152,30.048243318146685,12.190455625149427,20.661973306685105,10.72969288843598,9.499257471036014,,TMA,3.0,False,6.499257471036014
14700.0,RYR1FB,VLG6152,30.323098504621186,12.330342192427718,20.87794834201829,10.69824368423252,9.585124262865376,,TMA,3.0,False,6.585124262865376
14736.0,VLG9YD,VLG6152,17.453808632351873,10.146260597665824,22.98091658413964,10.341413815280372,5.530552150469324,,TMA,3.0,False,2.5305521504693242
14740.0,VLG9YD,VLG6152,17.56003240732852,10.200258201899816,23.214520781945712,10.305379960263886,5.655465441744164,,TMA,3.0,False,2.6554654417441643
