id_preceding,id_following,callsign_preceding,callsign_following,runway_preceding,runway_following,sid_preceding,sid_following,distance_twr_nm,time_twr,distance_tma_nm,time_tma,violation_twr,violation_tma
594,595,VLG76GZ,VLG68LT,LEBL-24L,LEBL-24L,-,OLOXO1C,4.715152447666598,05:42:00:672,4.868177921765201,05:42:04:656,False,False
595,596,VLG68LT,VLG5YL,LEBL-24L,LEBL-24L,OLOXO1C,-,4.1268000027077,,,,False,False
596,597,VLG5YL,RYR2SY,LEBL-24L,LEBL-24L,-,-,2.959109738480421,05:44:20:555,3.044486952714462,05:44:24:531,True,False
597,598,RYR2SY,VLG2QW,LEBL-24L,LEBL-24L,-,-,3.1588104142954614,,,,False,False
598,599,VLG2QW,VLG3TC,LEBL-24L,LEBL-24L,-,-,3.1164415592421,05:46:48:398,3.167124312084808,05:46:52:367,False,False
599,600,VLG3TC,VLG84ZE,LEBL-24L,LEBL-24L,-,NATPI1C,4.428967045969856,05:48:24:180,4.5747926495609095,05:48:28:172,False,False
600,601,VLG84ZE,VLG1YW,LEBL-24L,LEBL-24L,NATPI1C,-,3.369690643962634,05:49:40:172,3.439870798575993,05:49:44:148,False,False
601,602,VLG1YW,VLG6FZ,LEBL-24L,LEBL-24L,-,-,4.72907975194844,,,,False,False
602,603,VLG6FZ,VLG9VG,LEBL-24L,LEBL-24L,-,-,2.6336052779907186,05:52:24:023,2.67428764731968,05:52:28:000,True,True
603,604,VLG9VG,VLG94PH,LEBL-24L,LEBL-24L,-,-,3.867835364470074,05:53:51:734,3.9797576014249754,05:53:55:711,False,False
604,605,VLG94PH,VLG44WK,LEBL-24L,LEBL-24L,-,OLOXO1C,3.4171318138469577,05:55:07:656,3.5131218591576805,05:55:11:633,False,False
605,606,VLG44WK,VLG2GP,LEBL-24L,LEBL-24L,OLOXO1C,LARPA1C,2.9578330137953857,05:56:15:656,3.023101569265343,05:56:19:633,True,False
606,607,VLG2GP,VLG73LA,LEBL-24L,LEBL-24L,LARPA1C,-,4.154029140240315,05:57:47:430,4.268072679083659,05:57:51:414,False,False
607,608,VLG73LA,EJU86XG,LEBL-24L,LEBL-24L,-,-,3.2150337239471507,,,,False,False
608,609,EJU86XG,BAW47C,LEBL-24L,LEBL-24L,-,-,2.5995217229877308,06:00:07:367,2.639943233380643,06:00:11:344,True,True
609,610,BAW47C,VLG5RP,LEBL-24L,LEBL-24L,-,OLOXO1C,3.8916302722931895,06:01:47:172,3.5349187100776795,06:03:27:133,False,False
610,611,VLG5RP,VLG6LC,LEBL-24L,LEBL-24L,OLOXO1C,DALIN1C,5.17105993800596,,,,False,False
611,612,VLG6LC,VLG91MM,LEBL-24L,LEBL-24L,DALIN1C,-,3.208866436610962,06:04:18:977,3.29356039884916,06:04:22:953,False,False
612,613,VLG91MM,DLH98Y,LEBL-24L,LEBL-24L,-,AGENA1C,3.0280407639784186,06:05:26:961,3.102312108068314,06:05:30:945,False,False
613,614,DLH98Y,DLH97F,LEBL-24L,LEBL-24L,AGENA1C,-,3.7510624986264216,06:06:50:734,3.8667443853214953,06:06:54:711,False,False
614,615,DLH97F,THY1852,LEBL-24L,LEBL-24L,-,DIPES1C,3.8533282990554216,06:08:18:609,3.9637983054552133,06:08:22:594,False,False
615,616,THY1852,VLG700D,LEBL-24L,LEBL-24L,DIPES1C,-,4.916850452201928,,,,False,False
616,617,VLG700D,VLG6ZP,LEBL-24L,LEBL-24L,-,OLOXO1C,4.9373124390054,06:11:54:281,5.083965711543339,06:11:58:266,False,False
617,618,VLG6ZP,NSZ3DA,LEBL-24L,LEBL-24L,OLOXO1C,-,3.000024605710331,06:13:02:344,3.094236107632668,06:13:06:328,False,False
618,619,NSZ3DA,VLG8VX,LEBL-24L,LEBL-24L,-,-,3.7419921471863384,06:14:26:188,3.833554941454333,06:14:30:164,False,False
619,620,VLG8VX,IBE04GZ,LEBL-24L,LEBL-24L,-,-,2.800892769957876,06:15:34:148,2.846936957972436,06:15:38:125,True,True
620,621,IBE04GZ,NSZ5528,LEBL-24L,LEBL-24L,-,-,4.952973600748193,,,,False,False
622,623,VLG5WG,VLG45PN,LEBL-24L,LEBL-24L,-,-,4.1716326888509,06:21:29:633,4.292501841928526,06:21:33:617,False,False
623,624,VLG45PN,VLG65MT,LEBL-24L,LEBL-24L,-,LOBAR1C,3.7333480617895964,06:22:53:531,3.8322267726047436,06:22:57:508,False,False
624,625,VLG65MT,IBE2601,LEBL-24L,LEBL-24L,LOBAR1C,LOTOS1C,7.366867476623814,06:25:13:336,7.501070554475163,06:25:17:336,False,False
625,626,IBE2601,VLG93DX,LEBL-24L,LEBL-24L,LOTOS1C,LARPA1C,7.058400615741101,,,,False,False
626,627,VLG93DX,SWT7TN,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,3.5546797197656015,06:28:57:055,3.6711318231029875,06:29:01:031,False,False
627,628,SWT7TN,EJU37TW,LEBL-24L,LEBL-24L,LARPA1C,NATPI1C,5.428754790660162,06:31:04:781,5.534657118257079,06:31:08:773,False,False
628,629,EJU37TW,VLG92CD,LEBL-24L,LEBL-24L,NATPI1C,NATPI1C,5.468468764207555,06:32:56:734,5.6034701227239925,06:33:00:719,False,False
629,630,VLG92CD,VLG2974,LEBL-24L,LEBL-24L,NATPI1C,NATPI1C,4.7521491806519265,,,,False,False
631,632,TVF32PR,VLG21PG,LEBL-24L,LEBL-24L,OLOXO1C,LOTOS1C,6.357852377213257,06:45:55:727,6.493239653239979,06:45:59:719,False,False
632,633,VLG21PG,AEA38LZ,LEBL-24L,LEBL-24L,LOTOS1C,LARPA1C,8.079936635291933,06:48:23:453,8.280941191373385,06:48:27:445,False,False
