callsign,time_despegue,SID,Estela,Airline,AircraftType,Runway,IAS_850ft,IAS_850ft_time,IAS_850ft_altitude,IAS_1500ft,IAS_1500ft_time,IAS_1500ft_altitude,IAS_3500ft,IAS_3500ft_time,IAS_3500ft_altitude
BAW47C,0 days 06:00:21,-,Media,1014,A319,LEBL-24L,,,,,06:00:51:430,1424.99543928341,,,
BAW47C,0 days 06:00:21,-,Media,1014,A319,LEBL-24L,,,,,,,144.0,06:01:59:133,3475.0098909633
VLG5RP,0 days 06:02:02,OLOXO1C,Media,1014,A21N,LEBL-24L,155.0,06:02:19:359,824.995917971652,,,,,,
VLG5RP,0 days 06:02:02,OLOXO1C,Media,1014,A21N,LEBL-24L,,,,191.0,06:02:47:195,1499.99774917376,,,
VLG5RP,0 days 06:02:02,OLOXO1C,Media,1014,A21N,LEBL-24L,,,,,,,232.0,06:03:46:961,3575.02643546255
VLG6LC,0 days 06:03:23,DALIN1C,Media,1014,A321,LEBL-24L,157.0,06:03:35:273,849.995691441304,,,,,,
VLG6LC,0 days 06:03:23,DALIN1C,Media,1014,A321,LEBL-24L,,,,180.0,06:03:59:109,1474.99742259381,,,
VLG6LC,0 days 06:03:23,DALIN1C,Media,1014,A321,LEBL-24L,,,,,,,224.0,06:05:06:766,3575.03950769056
VLG91MM,0 days 06:04:28,-,Media,1014,A320,LEBL-24L,160.0,06:04:47:172,774.996085338139,,,,,,
VLG91MM,0 days 06:04:28,-,Media,1014,A320,LEBL-24L,,,,177.0,06:05:07:086,1474.99494149295,,,
VLG91MM,0 days 06:04:28,-,Media,1014,A320,LEBL-24L,,,,,,,212.0,06:06:02:805,3500.0153063749
DLH98Y,0 days 06:05:39,AGENA1C,Media,1014,A320,LEBL-24L,158.0,06:05:55:094,799.995746578528,,,,,,
DLH98Y,0 days 06:05:39,AGENA1C,Media,1014,A320,LEBL-24L,,,,171.0,06:06:14:969,1499.99604079261,,,
DLH98Y,0 days 06:05:39,AGENA1C,Media,1014,A320,LEBL-24L,,,,,,,212.0,06:07:22:609,3425.03261352412
