callsign,time_despegue,SID,Estela,Airline,AircraftType,Runway,IAS_850ft,IAS_850ft_time,IAS_850ft_altitude,IAS_1500ft,IAS_1500ft_time,IAS_1500ft_altitude,IAS_3500ft,IAS_3500ft_time,IAS_3500ft_altitude
WZZ17JZ,0 days 07:50:45,-,Media,1014,A21N,LEBL-24L,,,,,,,238.0,07:52:54:453,3475.0499206816
WZZ521,0 days 07:52:11,-,Media,1015,A21N,LEBL-24L,171.0,07:52:26:891,774.995675944244,,,,,,
WZZ521,0 days 07:52:11,-,Media,1015,A21N,LEBL-24L,,,,179.0,07:52:46:805,1474.99359410014,,,
WZZ521,0 days 07:52:11,-,Media,1015,A21N,LEBL-24L,,,,,,,231.0,07:53:54:406,3550.03412554136
AEA68NT,0 days 07:53:57,LARPA1C,Media,1015,B738,LEBL-24L,160.0,07:54:14:742,799.994931863747,,,,,,
AEA68NT,0 days 07:53:57,LARPA1C,Media,1015,B738,LEBL-24L,,,,156.0,07:54:34:625,1574.99556122204,,,
AEA68NT,0 days 07:53:57,LARPA1C,Media,1015,B738,LEBL-24L,,,,,,,213.0,07:55:46:258,3425.03446640388
RYR2VW,0 days 07:55:18,-,Media,1015,B738,LEBL-24L,176.0,07:55:38:664,774.993742139021,,,,,,
RYR2VW,0 days 07:55:18,-,Media,1015,B738,LEBL-24L,,,,174.0,07:55:54:617,1474.99045062052,,,
RYR2VW,0 days 07:55:18,-,Media,1015,B738,LEBL-24L,,,,,,,223.0,07:57:06:164,3550.03163715002
VLG7KT,0 days 07:59:46,-,Media,1015,A320,LEBL-24L,162.0,08:00:02:305,874.994803772739,,,,,,
VLG7KT,0 days 07:59:46,-,Media,1015,A320,LEBL-24L,,,,170.0,08:00:22:195,1474.99431431073,,,
VLG7KT,0 days 07:59:46,-,Media,1015,A320,LEBL-24L,,,,,,,216.0,08:00:57:961,2125.00810486247
